treatment,run_id,problem,solution_found,solution_length,update_found,update_first_solution_found,program
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1168,grade,True,68,902,807,"[LoadGrade-Tag(1001010010010000,1101011000001111,1001101111101110),SwapMem-Tag(0100101100010111,1010101001101011,0110100111101010),SubmitA(1110001111111100,0011100110110001,0101110110010010),TestNumLessTEqu-Tag(1011000101111000,0010100110111000,0100011111100011),Set-8-Tag(1011101000111101,1001000011010010,0111101101110010),SwapMem-Tag(1010100000111101,1110001011011000,0011011010001001),SwapMem-Tag(0000000101010101,0110000011111001,1010011011100011),Close(0111010100100100,0101000100011111,0001100110111111),Set-4-Tag(0010001010010010,0100110111011000,1001100110010110),Sub-Tag(1011110101011110,0000101000000110,1101010010101110),Close(0101110100000100,0110001001101111,1111111111100100),Sub-Tag(0100010001000001,1111100010111111,0011100101010111),Add-Tag(0110010110101000,0100010110110110,0100001100001100),Set-14-Tag(0000000101101100,1110100011101001,0000110000001101),CopyMem-Tag(1001100110111100,0110111010001000,0011000111101011),Set-4-Tag(1010000110010111,1100000100101110,0001011001100100),LoadGrade-Tag(0010000011101010,1001111000101011,0111000100110001),Div-Tag(0101111110111000,0001111101101101,1111011110100010),While-Tag(0110011110000100,1001101111100010,0001111011111000),Mult-Tag(0110011110000001,1111010111110000,0101001101100110),Set-15-Tag(1111100000110100,0110010101010010,0100111110000011),SwapMem-Tag(0010001010110000,0011010010110010,0101111100011000),TestNumLess-Tag(0011000101010100,0011000100100010,0010010110100111),Mult-Tag(0011010100010011,1111100111000010,0000011100010101),Floor-Tag(0101001010011111,1100001010110100,0010110001010011),LoadThreshB-Tag(1100001001100000,0110001000000101,1011111011100111),If-Tag(1010110001100111,1100101010111101,1010011110100101),TestNumNEqu-Tag(0101001111111011,1001111001100111,1110010110010100),Div-Tag(1111111011010000,1110100010001010,0010011011110111),Set-14-Tag(0101001101101000,0011000000110111,0000110111110011),Sub-Tag(0100011010001110,0111011110001000,0110101110100000),TestNumLess-Tag(0011110111010110,0011000100010111,0010001010010000),CopyMem-Tag(1101000010101001,0001101011100100,0011111010001001),Countdown-Tag(0100101111010100,0100000010000000,1010101011111110),LoadThreshC-Tag(0100111001000001,1010010101111101,0111111010111100),SubmitD(1001110111001111,0001101010101100,1011011101000101),Set-13-Tag(1000100011010010,1110010111110000,0011010111111011),Set-2-Tag(0001100010111011,0001110010000010,0101110011001100),Mult-Tag(1110111110010111,0000111101001000,1111101011010011),Floor-Tag(1101101010111100,0000011001111011,1111111101100111),Add-Tag(1010110110010000,0000101000100101,0011010001110110),TestNumLess-Tag(0100010010000110,1100101100100111,0111011001111011),LoadThreshB-Tag(1000110110101101,0110100010010101,0100111101110011),LoadThreshB-Tag(1011100010110111,1001111011111010,0011111000110000),SwapMem-Tag(0111010100101111,1100000110111011,0010101101001000),SubmitC(0001001101110110,0011110000100000,0001101101101101),Set-7-Tag(0010011110010000,1100100100011111,1001011001000101),LoadThreshC-Tag(0000000001110100,1111110010011001,0010110001100011),LoadThreshA-Tag(1011011101101101,1110111111111111,1011010011010101),Sub-Tag(1010010010000111,1101001010110001,1010000111111101),IfNot-Tag(1100100001100110,0110110010111010,0010101000001110),Div-Tag(0110101011111110,1101100111110100,1011111110000010),LoadThreshD-Tag(1011100010110111,1001111011111010,0011111000110000),Dec-Tag(0011010101110101,1111011110101111,0100100110111001),Add-Tag(0111101001011010,0000101101101100,1111000100111011),PullGlobal-Tag(1000010001111000,0010000100110001,1110101010111110),TestNumGreater-Tag(0010001010010010,0100110111011000,1001100110010110),Close(0101110100000100,0110001001101111,1111111111100100),TestNumLess-Tag(0111101101111111,1111001010001010,1111001000011001),SubmitB(1101001010001011,1011000000111101,1100001111111100),TestNumLessTEqu-Tag(0100010001000001,1111100010111111,0011100101010111),TestNumGreater-Tag(1010111010100010,0101010111110111,0111100100111010),TestNumGreater-Tag(1000100011001110,0100011100001001,1010000011101110),Set-7-Tag(1110100010111110,1110101001111010,1000001001111001),TestNumNEqu-Tag(0010001100001010,0000110111111010,0101001011000110),Countdown-Tag(0011000101010100,0011000100100010,0010010110100111),SubmitF(1111000001010001,0001011000111000,1011011010000101),Countdown-Tag(1011111001001111,0101100110001100,0001111101000000)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1169,grade,True,23,489,348,"[TestNumLess-Tag(0000101100001000,1111111111001111,0010000001000001),CopyMem-Tag(0010011000111011,1111111101000010,1100010101100101),SubmitA(1000001100000000,0000111011100010,1001011111000001),If-Tag(1010110101111001,1110000000101100,0011000110100111),LoadGrade-Tag(1110010111101000,0101011000110100,0010010000101100),Sub-Tag(0111110110111101,0000100100101001,1001111101011010),TestNumGreaterTEqu-Tag(1110111111001111,0010110111100001,1101111111101100),Set-2-Tag(0001100001101101,0001001011101110,0110101111000111),Mod-Tag(0000101100001000,1111111111001111,0010000001000001),LoadThreshD-Tag(0011001011011011,1001101100011000,1010111100011001),LoadGrade-Tag(0110011101110100,1011110111100110,0100110001110111),LoadThreshB-Tag(1000100100110100,0100110011110010,1100100111111101),TestNumGreaterTEqu-Tag(0100110011010110,0001101000111110,1100101111011100),SubmitF(1110000001000111,1111101110101010,1010001001010000),Sub-Tag(1110100100111000,0110111101100110,0000110101001010),While-Tag(0000011100001001,0000011111111110,0100010010100010),SubmitB(0111010111001001,0111001010010000,1110000100001110),TestNumLess-Tag(1011010010110110,1000110100111001,1010111111101011),Countdown-Tag(1110111110001111,0001101101100011,1010110110110110),SubmitD(1100011010101100,0101111111101100,1011101111101001),Countdown-Tag(1000111010000111,0101110101000110,1010100011010100),Close(1011100011100111,1000001010001011,1100011011110111),SubmitC(1010010100110111,1100111111011100,0111101010101011)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1170,grade,True,60,640,269,"[Sub-Tag(1111000000111001,0100111101010010,0000110110001100),SubmitF(0000000111000100,1001101000000011,1101111110001001),LoadGrade-Tag(1111010001100010,0001010010001100,0000111001011000),While-Tag(0101000101010011,1100100001111010,1001111111001000),LoadThreshC-Tag(1101010001101100,1110001011011001,1100011010101000),TestNumGreater-Tag(0011110110010001,1110110000101011,1110011110101011),TestNumNEqu-Tag(0100000001100000,0111111101001100,0000110101010000),Close(1001011101010000,1111011000110000,1101010011001010),LoadGrade-Tag(0111011111110001,1011001100001111,1000011001000111),Inc-Tag(1100110100000111,0110000011110010,0010110010101100),Set-2-Tag(0011101001001000,1110011000101100,1010010100100011),Add-Tag(1101001110111101,0000100100010101,0110111000100100),Inc-Tag(0000001010001111,0001011111011000,0011110010000101),Countdown-Tag(1001011101001000,0110001001010000,0001001011100101),Set-8-Tag(1111111011011001,1110000110011000,0011011111000010),TestNumGreater-Tag(0011011011111101,0001010111111001,0111011001100010),Sub-Tag(1011001100111010,0101011000001010,0011101110011001),TestNumNEqu-Tag(0101100000111110,0110000101100000,0111000000100100),SwapMem-Tag(1100110101010111,0001011001110000,0101110110000101),Sub-Tag(1111000000111001,0100111101010010,0000110110001100),TestNumGreater-Tag(0111100110100101,0000111101011011,0111010001001001),LoadGrade-Tag(1111010001100010,0001010010001100,0000111001011000),While-Tag(0101000101010011,1100100001111010,1001111111001000),Mult-Tag(1101101100101001,1100010010111011,1111001001100000),Set-16-Tag(1000001101010111,1001100011111101,0111111000010100),TestNumGreater-Tag(0011110110010001,1110110000101011,1110011110101011),TestNumLess-Tag(0100000001100000,0111111101001100,0000110101010000),Set-14-Tag(1110000000001001,1111001000010111,0011110000011111),Close(1001011101010000,1111011000110000,1101010011001010),TestNumGreater-Tag(1110111000101011,1000100011001001,1000111000110111),Set-13-Tag(1100001110011101,1010001111100011,0111000000000010),SubmitD(0000001111110001,0110110100101101,0001011010000101),While-Tag(0100011011010011,0110101110001100,1100100011100010),SwapMem-Tag(0010111000111101,0111011111101110,1100100111111111),Not-Tag(1011010110111001,0000101011100101,0101001111010011),Set-9-Tag(1100010101110001,1110011001000111,0101000111110000),TestNumEqu-Tag(0000000100101110,1001101101010000,0011110101000011),Inc-Tag(0010010110011101,0101001000110101,1111111001111010),LoadThreshB-Tag(1011011111100101,0001100011000011,0001101101011001),Set-3-Tag(1000010100011101,1110000000101010,1011001101101100),Sub-Tag(0100110110011000,0000011000001010,0011110001111011),Output-Tag(1101111101011000,1101111100001110,0000111101110001),Set-10-Tag(0010000100111101,0010011110000101,0110001001010111),CopyMem-Tag(0111001001111111,0000010000000101,0110111010100011),Countdown-Tag(1001101000001010,1011010011111100,0101001001011011),TestNumLessTEqu-Tag(1100000100111000,1110110001000010,1101101101010110),CopyMem-Tag(1100010010011100,0101011111100011,0111011100010101),Set-3-Tag(1000001100011101,1011101011111011,0010011011100011),Mult-Tag(1010001100110101,0110101111110110,0000111110111001),Countdown-Tag(1100100010110000,1110001101011011,1010110000100110),SubmitC(1001011100010000,0010111001011010,1001101011001011),TestNumLess-Tag(0111000011100010,0111000000010100,1101011100101010),Set-13-Tag(0101111100010000,0111011111111101,0001010010010100),LoadThreshA-Tag(0100011010111000,1110001101110110,1000100111100000),TestNumGreaterTEqu-Tag(0001101010100011,0110011010111000,1010101100010100),Mod-Tag(1001100011010001,1011101101100100,1100011111011100),SubmitB(1001101100010000,1010100101010010,0110100110111111),Mult-Tag(1101001111011101,0100010011010011,0000010010001001),IfNot-Tag(0111011000001000,1110001110100011,1011100001010101),SubmitA(1000100111001111,0100101110111000,0000011111001100)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1171,grade,True,72,995,955,"[LoadGrade-Tag(1110011111000011,0101111000001011,0110110000011011),LoadThreshB-Tag(1011000101100111,1110001101101111,0000111001100110),TestNumLess-Tag(1000011100011101,1100000101100100,1010110010001001),SwapMem-Tag(0101001000111111,1101111101101100,1001000010111000),Set-9-Tag(0011110111011101,0000110011011010,0011001010100001),Countdown-Tag(1001001001110111,0111111011101110,0111100110011000),LoadGrade-Tag(0001011011000110,0011110001101001,1110010001100100),Set-2-Tag(0000110011011110,1000110011111011,1011101101100011),Div-Tag(0011000111110111,1100101101101011,0101010111000111),While-Tag(0000010111111010,0111110001011110,0000011110110011),SubmitB(1101101000011010,0100110000000011,1100110000101001),LoadGrade-Tag(1010110111000100,0000000101111100,1101110000011011),IfNot-Tag(0011010101010110,1110110111010101,1010001111011011),LoadThreshC-Tag(0000000100100011,0111111101111001,1101010010000011),Set-2-Tag(1011010110001001,0110000011010001,0010000011000000),Dec-Tag(0000000101100010,0011100010011111,1010011110110001),Mult-Tag(0011011000100010,0001011000011011,1000101101010110),Set-8-Tag(1110110110011001,0010001111111001,0101010101110100),Set-14-Tag(1101011011000000,1000110001101011,1010011101110000),Set-9-Tag(1010000011000011,0011111010010110,1101010010011101),TestNumLess-Tag(0011000110010000,0010011110101111,0111000100010000),Set-5-Tag(0111001010010011,0010000001011110,1100110110000101),Not-Tag(0111010100110001,1000001100111111,1010010101000101),SubmitC(1101010111110010,1100011001101111,1100100010101100),LoadThreshC-Tag(0111110100100010,1110111011110111,1000110000001101),TestNumLess-Tag(0111100110110101,1110110010101101,0000010101111011),Set-8-Tag(1010010001001001,0111111110111110,1000111001110101),SubmitF(1010100011011011,0111110111001010,0001001110110001),Set-7-Tag(1010100001000001,0011011001110111,1011000111111010),TestNumNEqu-Tag(1011110111101010,0110001001111011,0100111010100110),Set-14-Tag(1000101000001111,1101000001110101,1000100001100101),Set-12-Tag(1001100010001110,0000011101101111,0001110010010010),While-Tag(1001110111100110,1110000011110101,1010110010001100),Close(1000100110111111,0100000001011101,1001110000010000),Close(1100010011101110,0101000110101100,1111001010100101),Mod-Tag(0100100001101000,0101010101100110,1100011011100111),SubmitC(0000100011100000,1000010111111101,1001101111000110),SubmitC(1001000010001101,1111010010001100,0001010010110110),Set-10-Tag(1101011011101011,0111101101001001,0001011100011011),SubmitB(1000111000000111,0000001001000111,0101010000111110),LoadThreshD-Tag(1001001000110101,0010101001001001,1011100010011101),Sub-Tag(1010000000111011,1001000111100110,0000010000100100),Set-3-Tag(1000100100100010,0100011000000011,0000010000110011),SubmitA(1010001110110110,1001001011011101,1110011001011111),Set-15-Tag(0000100011110001,0001001101101111,1011011111001011),If-Tag(1101101000011010,0100110000000011,1100110000101001),Mod-Tag(1011101100000101,1010100111000100,1011000101100110),Set-5-Tag(1001101101110001,0010101011001001,1010101001010000),LoadGrade-Tag(1101110100101010,1001100100010010,1110100100011011),Output-Tag(0011011111000101,0001100001011011,0010111110001011),SubmitB(0111001010001001,0110000101110001,0111000011000010),Mod-Tag(0010110110000000,0111000100011111,0110000100000011),SubmitC(1110101111101100,0000100101010010,0010111111101110),SwapMem-Tag(0111011100111111,0110110000011000,1110111110001011),If-Tag(1011000111110111,1101001011001100,0010000011000010),Set-1-Tag(1101100101111100,0100111110000001,1100101011011000),TestNumNEqu-Tag(0101011101000101,1001001110010101,0110000110100000),IfNot-Tag(0011010101010110,1110110111010101,1010001111011011),While-Tag(0000101010000101,0100100101010010,1100011011000011),Close(1000100110111111,0100000001011101,1001110000010000),Close(1100010011101110,0101000110101100,1111001010100101),Set-4-Tag(0011010011001101,0000111010001110,0100001110101100),Close(1100110010000111,1001011100110101,1100111000100111),Close(1111000011101101,1101000010011110,0000001101100000),Set-14-Tag(1001110000110011,0011111011100111,0110011110100110),Input-Tag(0000100100001110,1101110010100011,0010100111011001),SubmitD(1011010110000110,0101010100111000,0110110011101100),SwapMem-Tag(0000100011100000,1000010111111101,1001101111000110),SubmitA(1010010001011100,1001111101010000,0101000000001011),TestNumGreater-Tag(1001011111011101,0010110010101100,0101011000000000),Countdown-Tag(0110001011000110,1001100101101101,1111001001010101),While-Tag(0010011101001110,1101001011011100,0101000010111111)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1172,grade,True,30,650,317,"[IfNot-Tag(1101100111010011,0100111111001100,0000101010100001),Set-7-Tag(1001000010000100,1000111100111010,1111011011110011),Close(0001100000100010,1010111100110010,0111001100101001),SubmitA(0000101110010101,0010100100011101,1100101111111001),Countdown-Tag(0011100110010000,0101001111111000,1000011000110001),Set-12-Tag(1111101010110000,1101110011001100,0101001111101001),Not-Tag(0101100001101100,0011110111100001,0101000100101000),LoadThreshA-Tag(0011100010000111,0111110100010111,0111100001000101),Countdown-Tag(1111101011100100,1100010100100110,1001011011010010),LoadGrade-Tag(0101110011011111,0000001100001110,1010101101100001),TestNumLessTEqu-Tag(1101101110011111,0000110111011010,0001000000111111),LoadThreshD-Tag(0111001011011101,1011001100001001,0011110001010111),While-Tag(0000001011101100,1100001101010111,0110001100001010),SubmitF(1110011111010011,0110101110111100,0000000001010100),SubmitD(0000011111001001,1000001011000100,1111100011110011),Close(1101100010111011,0001111011101010,1000011001101000),Close(0011101000011011,1011101000011011,0011010000100011),Inc-Tag(0001011101111111,1101111011000111,1000110110110101),TestNumLess-Tag(0011110111000111,1111111001101100,1100111001000011),Div-Tag(1000111001000000,1100101111010001,0110100111001000),Mult-Tag(0001011111110100,0110110101001101,0001011110001101),If-Tag(1000101000011111,0100101101110011,0001010010111010),SwapMem-Tag(1010011100010010,1001101111011100,1000110111101001),SubmitC(0101101100011101,0101101011101001,0000111110010100),LoadThreshB-Tag(0010001001111001,1111101001110000,0000100110110101),Div-Tag(1101000110101100,0111111000010111,0101000111000110),Div-Tag(1011100100010000,0101000001011011,1110010001101101),TestNumLess-Tag(0011011000001011,1011001110000100,1010110111010110),Countdown-Tag(0101111111101000,0100010000011101,0000001110101110),SubmitB(1011111100001000,1100100100000001,1010000010010001)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1173,grade,False,NONE,NONE,NONE,"NONE"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1174,grade,True,49,926,691,"[TestNumLess-Tag(0000101110001111,0101100111101110,0011001100000011),PullGlobal-Tag(1101011001100100,0001100011100010,0001011101001111),Set-13-Tag(1010001101100100,1100110111010111,1110110111000010),LoadThreshB-Tag(0010111001100011,1010101111100100,0011001101100010),Set-15-Tag(0010010011011100,0001001000001010,0101000101000001),IfNot-Tag(0011010001110011,1001000110100100,1100011101000010),LoadGrade-Tag(0001000110011111,1110100110000110,0000100000100010),Close(0011110000101000,0111010011110011,0000111100111010),Inc-Tag(1001111100010111,0111100000001101,0101101101010000),TestNumLessTEqu-Tag(0111100011110100,0001110001110000,1110101110011101),While-Tag(1111010011101010,0010001010001011,1010100010101001),LoadThreshC-Tag(1000001101110100,0110000110000111,1010110111101001),CopyMem-Tag(1100111000100001,1111001110110011,1111000011000101),IfNot-Tag(0010111001101000,1100101011100010,0111001010011100),Output-Tag(1000001000110000,0101010111000010,1101111101100101),TestNumGreater-Tag(0000011111100110,0100101101000101,0011000000011100),LoadGrade-Tag(0110101111001111,0110111010111101,0010010010001001),SubmitC(1110011111001011,0001000000110101,0000011101010100),TestNumLessTEqu-Tag(0110011110001111,0000110101110101,1100011100001001),LoadGrade-Tag(1111101011111000,0001111110001000,0101101010110110),Set-13-Tag(1011010000101001,0001111010001011,0000110000000011),LoadGrade-Tag(1000100101001111,0001110010000011,1010111010101110),TestNumLessTEqu-Tag(1110101001001101,0100110000101111,0111100110010011),Mult-Tag(0111101010111011,1111001110111111,0100100111010011),LoadGrade-Tag(1111011101010001,1101101111100111,1011011110000110),Floor-Tag(0001011101110000,1000100001010000,0010101111011011),Mod-Tag(1111101001101100,0111001001011110,1111110110001101),Mult-Tag(0010000101100111,0111011100000101,0101010100011001),Mult-Tag(1100001100111001,0110100110111111,0001110000111111),LoadThreshB-Tag(0001011010011100,1011110001011000,0111000101101000),TestNumLessTEqu-Tag(0001110101001010,0001110110011111,1001001000100001),CommitGlobal-Tag(1101011111000010,1011001010110010,1011110101100110),SubmitA(0001000111110001,0010100100000101,0111110011000001),Close(1110000111111111,0110111101011111,0110110011010110),Input-Tag(0000011101011110,0000010111100001,0011000101101100),SubmitB(1111110011110101,1010100110101111,0000111100001101),Output-Tag(0101001101101111,1111110000001010,1110110000000010),Countdown-Tag(1000011001111011,0111010000011010,1101001010101110),Set-1-Tag(0111111111000100,1010001111000011,0111101011111101),IfNot-Tag(0011111100101001,0010001011110101,0100101000011000),Set-11-Tag(1011111101101011,1001101111010111,0001101001101111),Set-1-Tag(0000011111000001,1000110110111001,0000100101010110),TestNumGreaterTEqu-Tag(0111011001000001,0011100111111001,1110001001011001),LoadGrade-Tag(0001011110011111,0000110010111000,1101101011101001),SubmitD(1000101011111100,1010001110110101,1110101011000111),TestNumGreaterTEqu-Tag(0000101101000010,1001101110100001,0000100110000010),Countdown-Tag(1001000110111110,1100011001101110,0100100000011100),Set-5-Tag(0110000011000111,0011001001000111,1110110111101001),SubmitF(0100010011101111,0110000010001101,0001111100110101)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1175,grade,True,47,933,351,"[Set-9-Tag(1011100110000101,0110101001010101,1110011100101011),Countdown-Tag(1000111101011000,0001010101111010,1110011011111001),SubmitF(0100110011111001,0101110101010010,0001000011110000),TestNumLessTEqu-Tag(1101110100000001,0011101001001110,1111101000100011),LoadThreshD-Tag(0111011101110100,0001100110100000,1001101110001111),Countdown-Tag(0011101100011100,0000100010111100,0101011011110010),LoadThreshC-Tag(0111011101110100,0001100110100000,1001101110001111),Countdown-Tag(1000111101011000,0001010101111010,1110011011111001),Set-1-Tag(0001011011011001,0111010011010100,0111000100010010),Set-14-Tag(1100001111111011,0110111100101100,0100110101011110),Set-10-Tag(1111100110010011,1010000000010000,1001111100010001),Set-2-Tag(0111011111100000,1111110110011000,1010101100011101),Set-3-Tag(1011110000011001,1111001100100000,0010100001101011),Add-Tag(1111111001000001,1011110011110110,1111100101100010),Inc-Tag(0111100111111110,0010111111000110,1000110101111101),TestNumLessTEqu-Tag(1000000011111110,1101100010111101,0010101100100001),Set-4-Tag(1100001101101101,1010111110011111,1110000000000010),SubmitB(1010101010011100,0110011000100111,1011011100011101),CopyMem-Tag(0110010000101111,1000011010101001,0101101111001001),LoadThreshA-Tag(1000010100110000,1111101101001110,1011000010101011),TestNumLessTEqu-Tag(1101110100000001,0011101001001110,1111101000100011),Countdown-Tag(1101110101111101,0000011001001110,1011101010110010),Inc-Tag(1100111000111110,1100101100111111,0001110011000011),While-Tag(1000010101101100,1101110100101110,0011101101111011),TestNumEqu-Tag(1111001101000100,1111010011101001,1111000000010010),Dec-Tag(0111100010110101,1010100110010011,1010110010010000),LoadThreshB-Tag(0101001000000000,1000010000010111,1010010000010100),LoadThreshD-Tag(0111011101110100,0001100110100000,1001101110001111),SubmitD(0101001000000000,1000010000010111,1010010000010100),TestNumLessTEqu-Tag(0101110011100000,0000000000010101,1111010100100111),Set-2-Tag(1011101011001011,1011111011001011,0101001101011000),Countdown-Tag(0011101100011100,0000100010111100,0101011011110010),PullGlobal-Tag(1101011010001111,0010010110010101,0110101010011100),IfNot-Tag(0101101101110011,1111110011011000,1110011000111001),Mod-Tag(0111110100011101,1011010100110111,0111100011101001),SubmitA(0000001110101001,0111101111010001,0001001100100111),Div-Tag(1001010000100100,1110011001110110,0001010011100010),SubmitC(0000010001000000,0111001101011001,1001111010010110),Not-Tag(1110010110100110,1100010001011000,0100011101110000),LoadThreshA-Tag(0111011101110100,0001100110100000,1001101110001111),SubmitA(0101110011100000,0000000000010101,1111010100100111),CopyMem-Tag(1010100000010110,0011111000100000,0001111100100100),Countdown-Tag(0011010010100110,0001011001100001,0101101101110110),TestNumLessTEqu-Tag(1101110100000001,0011101001001110,1111101000100011),SwapMem-Tag(0101110011100000,0000000000010101,1111010100100111),TestNumGreaterTEqu-Tag(0001111001011110,0000101100111001,1100111110000011),Set-6-Tag(1100000010011001,0110001110010011,1001010000100111)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1176,grade,True,63,994,571,"[Set-11-Tag(1000010110011110,0010100011101001,0010011100100111),Close(1100011001000011,0100101100111111,0000000011111010),LoadThreshA-Tag(0011101011111101,0101001101101100,0100011001001101),Inc-Tag(0110111000101111,1000110111000010,0101100100111011),Input-Tag(1101000111001000,0110101101100000,0100001001001000),CommitGlobal-Tag(0010101010011101,1010000111101011,1011000111011000),While-Tag(1101000111001001,0011100100011000,1100100101010100),TestNumLess-Tag(0101111000010011,1000101101111001,1100011010000111),Set-4-Tag(0110100110100001,1100101001100000,1010101000110100),Set-16-Tag(1111100000000010,1000111101000001,0110010110010000),LoadThreshB-Tag(1111100010110011,1111011010101010,1111010010011001),TestNumGreaterTEqu-Tag(1110001001011001,1011000110010001,0100011001010011),While-Tag(0100010101010010,0111111001001101,1000001100111100),Close(0111110010111001,1000111101011001,1110001110001110),Sub-Tag(0000110010100010,1010101100010101,0100001011101100),Set-6-Tag(1001001001001000,0011111010000011,1000000011011000),SubmitC(1110000001110000,1101101100100111,0010001100100000),Set-5-Tag(1010010110010010,0011000110001101,0011001010001111),Set-7-Tag(1110100001111110,0100001111000100,1101100010110010),Sub-Tag(1001101011010101,0110110011001011,0110000010011010),SubmitC(1011010011000010,0100101010011110,1101001100010010),Dec-Tag(1100100001010001,0100111111011101,0110000110000010),SwapMem-Tag(1000011111001101,0000101110111010,0001010110111100),LoadThreshA-Tag(1001111001000111,1100011001010011,1110001110000011),Floor-Tag(1111000111000100,1011101110101111,0100010111111110),SwapMem-Tag(1010010111110100,0111010010111100,1010110000100001),LoadThreshB-Tag(0011111010011010,1100011011110000,1000101011000110),SubmitB(1100101101011001,1000111011001111,0010010111100101),LoadGrade-Tag(0000011101101001,1110000100111011,1010010111111011),TestNumGreater-Tag(0111111001001101,1110101010000001,0010000111100110),Set-2-Tag(0010110010101000,0110010101100001,0100001101011001),LoadThreshC-Tag(1010111001011010,1111101111101101,0001000000010000),Dec-Tag(0000001001010110,0010100011101111,1100111100001000),TestNumGreater-Tag(0001000101100011,1000111011001010,0011000000000011),SubmitD(0100101001101111,1110100100010101,1001110110001011),TestNumLess-Tag(0000111001011010,0010111100111100,0100110010011000),While-Tag(1101110000001011,1000111100000100,1010110000100010),Output-Tag(0111111111000010,1110111100110101,0001010011101000),If-Tag(1111101100111110,1011110011100011,1100001001010011),Set-13-Tag(0111110010010011,0001010111011001,1000011100001000),TestNumLessTEqu-Tag(1000111000000000,0110100010001101,0110000111100111),Mod-Tag(0110001000000100,0101011011101110,1110000001111100),If-Tag(1100000011001000,0111101111001110,0101111010001000),Add-Tag(1011010001010100,0001100000010011,0111011001100101),SubmitA(1001011111000101,1010011000100101,0010001001111000),LoadThreshA-Tag(1110111000111101,1000000110001000,0011110001111000),Set-15-Tag(0010110011001000,1111101111001101,1110001010010100),Set-8-Tag(1010101100100100,0110110110001110,1001111111010111),LoadThreshD-Tag(1000011011010101,1100111101001010,0001010000000100),Mult-Tag(1110001110001010,1010000011011001,0100101101010011),Set-6-Tag(0000001010000000,0100110101100001,0111111011100000),TestNumNEqu-Tag(1001101100010100,0011010001100111,0111110100001010),CopyMem-Tag(0101010001101001,1111000110010000,1111101110011111),Set-14-Tag(0101111000000111,1110100001000010,1101001101010100),PullGlobal-Tag(0011110110010000,0101100011010010,0010010110011010),Set-7-Tag(0001001011010010,1101101111000001,1010101001010110),Inc-Tag(1000000110010110,0100011100111100,0000110111111010),Set-13-Tag(0001011111111000,0001011011110000,0010011001010011),Div-Tag(1101110001000101,1000111111110001,0100001101100000),LoadThreshC-Tag(0000000000100101,0000010010110010,0011110011010111),SubmitB(1100010010000100,1101010110101000,0000100111111101),Set-1-Tag(0100101001111101,0111001010100100,1100111011000101),SubmitF(0011110101101110,0100110010101111,1101100100001101)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1177,grade,True,20,943,448,"[Set-16-Tag(1101101000011100,1000111100101110,0111100001010001),LoadThreshC-Tag(0100011101011100,0001010010111100,0000101101000010),Countdown-Tag(1000101110011111,1101001110110010,0110011010111001),LoadThreshD-Tag(1011101100111111,1001010100111000,1101111000100000),Input-Tag(1110010000100101,1100110000011111,1001111111110111),TestNumLess-Tag(0011111001001111,0101010101111111,1110110011001100),LoadThreshD-Tag(0101001101110110,1011110110111111,1001110001110111),SubmitF(0111010100111111,0100111100111001,0100000010110101),SubmitD(1110111111001011,0001000100011100,0001000100011000),IfNot-Tag(0111110010101110,0111010101100000,0010001010010001),SubmitC(1110100000000000,0010101010110001,1000101000010000),LoadThreshB-Tag(0100010010000110,0110110011001001,1101001001011011),TestNumLess-Tag(0011111001001111,0101010101111111,1110110011001100),Mult-Tag(1110111111001011,0001000100011100,0001000100011000),LoadThreshA-Tag(0111110100000100,1110111001111001,1101110100001101),IfNot-Tag(0111110010101110,0111010101100000,0010001010010001),SubmitB(0111000001101000,0010000000001000,1101110111100000),TestNumLess-Tag(0011111001001111,0101010101111111,1110110011001100),IfNot-Tag(0111110010101110,0111010101100000,0010001010010001),SubmitA(0110111001111000,0100101110011100,1000111010101111)]"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1178,grade,False,NONE,NONE,NONE,"NONE"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1179,grade,False,NONE,NONE,NONE,"NONE"
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,1180,grade,False,NONE,NONE,NONE,"NONE"
